State,Year,Quarter,H_idx
AL,1985,1,121.36
AL,1985,2,124.59
AL,1985,3,127.34
AL,1985,4,128.25
AL,1986,1,129.5
AL,1986,2,131.86
AL,1986,3,133.32
AL,1986,4,135.91
AL,1987,1,138.05
AL,1987,2,139.1
AL,1987,3,139.68
AL,1987,4,138.32
AL,1988,1,141.98
AL,1988,2,143.03
AL,1988,3,142.64
AL,1988,4,141.27
AL,1989,1,141.48
AL,1989,2,143.35
AL,1989,3,145.52
AL,1989,4,146.59
AL,1990,1,145.47
AL,1990,2,146.67
AL,1990,3,147.26
AL,1990,4,147.42
AL,1991,1,148.7
AL,1991,2,150.89
AL,1991,3,151.75
AL,1991,4,154.2
AL,1992,1,155.46
AL,1992,2,155.63
AL,1992,3,158.59
AL,1992,4,159.94
AL,1993,1,161.01
AL,1993,2,162.75
AL,1993,3,165.66
AL,1993,4,167.11
AL,1994,1,168.19
AL,1994,2,170.23
AL,1994,3,170.94
AL,1994,4,171.09
AL,1995,1,172.64
AL,1995,2,176.09
AL,1995,3,178.87
AL,1995,4,180.23
AL,1996,1,183.4
AL,1996,2,183.38
AL,1996,3,183.76
AL,1996,4,185.89
AL,1997,1,188.02
AL,1997,2,189.23
AL,1997,3,192.16
AL,1997,4,194.65
AL,1998,1,197.86
AL,1998,2,199.42
AL,1998,3,201.58
AL,1998,4,204.09
AL,1999,1,204.74
AL,1999,2,205.55
AL,1999,3,205.92
AL,1999,4,207.56
AL,2000,1,208.3
AL,2000,2,210.02
AL,2000,3,211.68
AL,2000,4,214.38
AL,2001,1,220.62
AL,2001,2,221.54
AL,2001,3,223.13
AL,2001,4,225.66
AL,2002,1,226.04
AL,2002,2,227.21
AL,2002,3,230.58
AL,2002,4,233.25
AL,2003,1,235.64
AL,2003,2,237.71
AL,2003,3,239.32
AL,2003,4,240.9
AL,2004,1,243.13
AL,2004,2,244.68
AL,2004,3,249.18
AL,2004,4,252.88
AL,2005,1,256.17
AL,2005,2,262.3
AL,2005,3,267.83
AL,2005,4,273.29
AL,2006,1,278.78
AL,2006,2,283.37
AL,2006,3,287.94
AL,2006,4,293.45
AL,2007,1,295.37
AL,2007,2,299.47
AL,2007,3,300.19
AL,2007,4,302.49
AL,2008,1,304.41
AL,2008,2,303.19
AL,2008,3,300.91
AL,2008,4,302.47
AL,2009,1,304.67
AL,2009,2,301.36
AL,2009,3,294.18
AL,2009,4,293.28
AL,2010,1,289.07
AL,2010,2,284.77
AL,2010,3,288.62
AL,2010,4,286.2
AL,2011,1,278.72
AL,2011,2,274.98
AL,2011,3,277.15
AL,2011,4,279.28
AL,2012,1,276.36
AL,2012,2,274.45
AL,2012,3,276.35
AL,2012,4,276.85
AL,2013,1,274.08
AL,2013,2,274.73
AL,2013,3,274.14
AL,2013,4,273.09
AL,2014,1,274.86
AL,2014,2,275.57
AL,2014,3,278.57
AL,2014,4,279.93
AL,2015,1,282.9
AL,2015,2,283.71
AL,2015,3,285.4
AL,2015,4,287.31
AL,2016,1,287.96
AL,2016,2,292.04
AL,2016,3,296.65
AL,2016,4,295.67
AL,2017,1,297.32
AL,2017,2,300.91
AL,2017,3,303.86
AL,2017,4,305.73
AL,2018,1,309.24
AL,2018,2,313.79
AL,2018,3,316.78
AL,2018,4,317.5
AL,2019,1,323.34
AL,2019,2,327.69
AL,2019,3,332.56
AL,2019,4,336.41
AL,2020,1,340.25
AL,2020,2,345.23
AL,2020,3,351.78
AL,2020,4,359.14
AL,2021,1,366.53
AL,2021,2,383.96
AL,2021,3,405.46
AL,2021,4,422.28
AL,2022,1,434.35
AL,2022,2,461.26
AL,2022,3,475.39
AL,2022,4,476.45
AR,1975,1,66.58
AR,1975,2,60.23
AR,1975,3,64.97
AR,1975,4,62.83
AR,1976,1,66.86
AR,1976,2,68.67
AR,1976,3,71.4
AR,1976,4,72.18
AR,1977,1,72.79
AR,1977,2,74.92
AR,1977,3,78.19
AR,1977,4,80.91
AR,1978,1,80.8
AR,1978,2,83.51
AR,1978,3,86.12
AR,1978,4,86.16
